"PVWatts: Hourly PV Performance Data"
"Requested Location:","78701, USA"
"Location:","Lat, Lng: 30.29, -97.74"
"Lat (deg N):","30.29"
"Lng (deg W):","97.74"
"Elev (m):","186.83999633789"
"DC System Size (kW):","10"
"Module Type:","Standard"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","210"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","2","0","12","0","0"
"1","1","1","0","0","11","2","0","11","0","0"
"1","1","2","0","0","10","3","0","10","0","0"
"1","1","3","0","0","10","3","0","10","0","0"
"1","1","4","0","0","9","3","0","9","0","0"
"1","1","5","0","0","8","4","0","8","0","0"
"1","1","6","0","0","8","4","0","8","0","0"
"1","1","7","0","0","7","4","0","7","0","0"
"1","1","8","0","64","7","4","58.733","6.553","548.383","486.942"
"1","1","9","0","93","7","4","85.37","7.43","794.07","727.598"
"1","1","10","37","197","8","4","218.193","11.948","1984.647","1890.612"
"1","1","11","50","243","8","4","285.47","14.09","2576.106","2466.419"
"1","1","12","32","243","9","4","278.105","15.119","2499.877","2392.28"
"1","1","13","8","195","9","4","195.047","12.969","1770.514","1681.825"
"1","1","14","25","195","9","4","214.921","13.219","1948.436","1855.317"
"1","1","15","771","79","9","3","722.481","27.727","6096.229","5866.479"
"1","1","16","0","65","8","2","63.593","11.304","581.564","519.458"
"1","1","17","0","17","6","1","15.399","3.904","145.425","91.751"
"1","1","18","0","0","5","1","0","5","0","0"
"1","1","19","0","0","5","2","0","5","0","0"
"1","1","20","0","0","4","2","0","4","0","0"
"1","1","21","0","0","4","2","0","4","0","0"
"1","1","22","0","0","3","3","0","3","0","0"
"1","1","23","0","0","2","3","0","2","0","0"
"1","2","0","0","0","2","3","0","2","0","0"
"1","2","1","0","0","2","2","0","2","0","0"
"1","2","2","0","0","1","2","0","1","0","0"
"1","2","3","0","0","1","2","0","1","0","0"
"1","2","4","0","0","1","2","0","1","0","0"
"1","2","5","0","0","1","2","0","1","0","0"
"1","2","6","0","0","1","2","0","1","0","0"
"1","2","7","0","0","1","2","0","1","0","0"
"1","2","8","3","65","1","2","60.281","0.312","576.226","514.226"
"1","2","9","73","146","2","3","172.931","4.96","1600.66","1516.091"
"1","2","10","25","189","3","3","194.548","7.037","1809.166","1719.524"
"1","2","11","86","258","3","3","329.95","10.964","3017.699","2895.478"
"1","2","12","73","272","4","3","347.037","12.962","3149.131","3023.04"
"1","2","13","126","270","5","3","417.964","15.99","3741.885","3597.539"
"1","2","14","110","226","5","3","342.07","14.152","3087.128","2962.87"
"1","2","15","137","162","5","2","300.846","13.876","2714.074","2600.549"
"1","2","16","199","81","4","1","240.945","12.463","2167.739","2068.998"
"1","2","17","0","12","2","0","10.849","2.962","102.868","49.98"
"1","2","18","0","0","2","0","0","2","0","0"
"1","2","19","0","0","2","0","0","2","0","0"
"1","2","20","0","0","1","0","0","1","0","0"
"1","2","21","0","0","1","0","0","1","0","0"
"1","2","22","0","0","0","0","0","0","0","0"
"1","2","23","0","0","0","1","0","0","0","0"
"1","3","0","0","0","0","1","0","0","0","0"
"1","3","1","0","0","0","1","0","0","0","0"
"1","3","2","0","0","-1","1","0","-1","0","0"
"1","3","3","0","0","-1","1","0","-1","0","0"
"1","3","4","0","0","-1","1","0","-1","0","0"
"1","3","5","0","0","0","1","0","0","0","0"
"1","3","6","0","0","0","2","0","0","0","0"
"1","3","7","0","0","0","2","0","0","0","0"
"1","3","8","0","58","2","3","53.04","1.242","506.609","446.002"
"1","3","9","230","143","4","3","247.224","9.058","2205.255","2105.534"
"1","3","10","24","188","6","4","192.838","9.79","1771.961","1683.236"
"1","3","11","0","97","7","3","88.511","8.102","820.887","753.852"
"1","3","12","0","77","8","3","70.053","8.166","649.518","586.034"
